LOCATION TYPE,FACILITY TITLE,ADDRESS,PHONE,HOURS OPEN TO PUBLIC,HOURS CLOSED,SERVICE DESCRIPTION
NON-PROFIT FSC,THE CHILDREN'S COLLECTIVE,"915 W MANCHESTER
LOS ANGELES, CA 90044
(34.02211679400045, -118.26701758899969)",(323) 789-4717,7:30 AM - 5:30 PM MON-FRI,,"Family support services, including: Income tax & financial planning assistance, education and pre-employment counseling, and information and referral services."
NON-PROFIT FSC,EL CENTRO DEL PUEBLO,"1824 W SUNSET BLVD
LOS ANGELES, CA 90026
(34.077934463000474, -118.26015038199972)",(213) 483-6335,MON-FRI 8:30AM-8PM,,"Family support services, including: Income tax & financial planning assistance, education and pre-employment counseling, and information and referral services."
HOUSING REGIONAL OFFICE,HCIDLA SOUTH REGIONAL OFFICE,"690 KNOX ST
TORRANCE, CA 90502
(33.854212163000454, -118.2874459679997)",(866) 557-7368,9AM-4PM MON-FRI,,"The South Regional Office administers the Rent Stabilization Program, Code Enforcement, Billing and Collections, the Rent Escrow Account Program (REAP), and the Utility Maintenance Program (UMP).  Property owners may register rental properties, file applications, verify property registration and pay registration. Tenants may file complaints for Code and Rent Stabilization Ordinance (RSO) violations. Constituents may  obtain a variety of information regarding HCIDLA programs, as well as referrals on related housing matters. SCEP:The Systematic Code Enforcement Program which provides systematic and complaint-based habitability inspections of the City's multifamily residential rental properties (two or more rental units) for conformance with the City's Housing Code.  The program's objective is to protect the basic need of safe housing and neighborhoods for the City's rental population by preventing the development of substandard, slum and dilapidated buildings and unsafe and unsanitary living conditions. Billing:The Department issues bills, processes payments and reviews exemption requests for SCEP, Rent Registration and other HCIDLA bills including the Annual Bill issued in January. The Department also to issues rent registration certificates to rental properties that have paid their rent registration fees.  Rent Escrow Account Program (REAP): REAP enforces compliance with the Housing code, and encourages property owners to maintain their properties by entitling tenants of units with unresolved violations to reduced rent rates, and providing them the option to deposit their reduced rents into a City-managed escrow account.  These funds can be withdrawn for different purposes authorized by the Ordinance.  UMP: UMP is an enforcement program that allows tenants to continue to receive essential utility services. Through UMP, the Department of Water and Power (DWP) and the Gas Company refer delinquent master-metered properties subject to rent stabilization to HCIDLA to establish escrow accounts for tenants to voluntarily deposit their rent.  HCIDLA is then able to release these funds to maintain utility services for the affected tenants."
NON-PROFIT FSC,CENTRAL CITY NEIGHBORHOOD PARTNERS,"501 S BIXEL ST
LOS ANGELES, CA 90017
(34.05478636300046, -118.2615657509997)",(213) 482-8618,"MON-FRI 8:30AM-8PM, SAT by appt (Walk-in hours Mon-Thur 9am-1pm and 3pm-7pm and Fri by appt)",,"Family support services, including: Income tax & financial planning assistance, education and pre-employment counseling, and information and referral services."
NON-PROFIT FSC,TOBERMAN NEIGHBORHOOD CENTER,"131 N GRAND AVE
SAN PEDRO, CA 90731
(33.74392030800044, -118.2901727949997)",(310) 832-1145 EXT. 106,"MON/THUR 9AM-7PM; TUE, WED, FRI 9AM-6PM; SAT by appt.",,"Family support services, including: Income tax & financial planning assistance, education and pre-employment counseling, and information and referral services."
NON-PROFIT FSC,EL NIDO FAMILY CENTERS,"11243 GLENOAKS BLVD
PACOIMA, CA 91331
(34.26276749700048, -118.42662269899972)",(818) 896-7776,MON-FRI 8AM-6PM,,"Family support services, including: Income tax & financial planning assistance, education and pre-employment counseling, and information and referral services."
HOUSING REGIONAL OFFICE,HCIDLA EAST REGIONAL OFFICE,"2130 EAST 1ST STREET
LOS ANGELES, CA 90031
(34.07364808500046, -118.21735884899971)",(866) 557-7368,9AM-4PM MON-FRI,,"The East Regional Office administers the Rent Stabilization Program, Code Enforcement, Billing and Collections, the Rent Escrow Account Program (REAP), and the Utility Maintenance Program (UMP). Property owners may register rental properties, file applications, verify property registration and pay registration. Tenants may file complaints for Code and Rent Stabilization Ordinance (RSO) violations. Constituents may  obtain a variety of information regarding HCIDLA programs, as well as referrals on related housing matters.  SCEP:The Systematic Code Enforcement Program which provides systematic and complaint-based habitability inspections of the City's multifamily residential rental properties (two or more rental units) for conformance with the City's Housing Code.  The program's objective is to protect the basic need of safe housing and neighborhoods for the City's rental population by preventing the development of substandard, slum and dilapidated buildings and unsafe and unsanitary living conditions.  Billing:The Department issues bills, processes payments and reviews exemption requests for SCEP, Rent Registration and other HCIDLA bills including the Annual Bill issued in January. The Department also to issues rent registration certificates to rental properties that have paid their rent registration fees.  Rent Escrow Account Program (REAP): REAP enforces compliance with the Housing code, and encourages property owners to maintain their properties by entitling tenants of units with unresolved violations to reduced rent rates, and providing them the option to deposit their reduced rents into a City-managed escrow account.  These funds can be withdrawn for different purposes authorized by the Ordinance.  UMP: UMP is an enforcement program that allows tenants to continue to receive essential utility services. Through UMP, the Department of Water and Power (DWP) and the Gas Company refer delinquent master-metered properties subject to rent stabilization to HCIDLA to establish escrow accounts for tenants to voluntarily deposit their rent.  HCIDLA is then able to release these funds to maintain utility services for the affected tenants."
NON-PROFIT FSC,BRESEE FOUNDATION,"184 S BIMINI PLACE
LOS ANGELES, CA 90004",(213)-387-2822,"MON, TUE, THUR , FRI 9AM-6PM, WED 9AM-8PM and every other SAT 9AM-3PM",,"Family support services, including: Income tax & financial planning assistance, education and pre-employment counseling, and information and referral services."
NON-PROFIT FSC,LATINO RESOURCE ORGANIZATION,"610 CALIFORNIA AVENUE
LOS ANGELES, CA 90291
(33.98951723400046, -118.4189736779997)",(310) 578-6069,"MON 9AM-7PM, TUES/WED 9AM-9PM ,THURS/FRI 9AM-5PM; 9AM-1PM SAT",,"Family support services, including: Income tax & financial planning assistance, education and pre-employment counseling, and information and referral services."
HOUSING MAIN OFFICE,HCIDLA MAIN OFFICE,"1200 W 7TH ST
LOS ANGELES, CA 90017
(34.05151502400048, -118.26596109499968)",(866) 557-7368,9AM-4PM MON-FRI,,"The Main Office is the headquarters of all of HCIDLA's housing and community investment programs, namely housing development, regulatory compliance and code, program operations, strategic planning and policy, and administration.  It also maintains a Public Information Counter that is staffed each business day from 9:00 a.m. to  4:00 p.m..  Property owners may register rental properties, file applications, verify property registration and pay registration. Tenants may file complaints for Code and Rent Stabilization Ordinance (RSO) violations. Constituents may  obtain a variety of information regarding HCIDLA programs, as well as referrals on related housing matters. SCEP:The Systematic Code Enforcement Program which provides systematic and complaint-based habitability inspections of the City's multifamily residential rental properties (two or more rental units) for conformance with the City's Housing Code.  The program's objective is to protect the basic need of safe housing and neighborhoods for the City's rental population by preventing the development of substandard, slum and dilapidated buildings and unsafe and unsanitary living conditions. Billing:The Department issues bills, processes payments and reviews exemption requests for SCEP, Rent Registration and other HCIDLA bills including the Annual Bill issued in January. The Department also to issues rent registration certificates to rental properties that have paid their rent registration fees.  Rent Escrow Account Program (REAP): REAP enforces compliance with the Housing code, and encourages property owners to maintain their properties by entitling tenants of units with unresolved violations to reduced rent rates, and providing them the option to deposit their reduced rents into a City-managed escrow account.  These funds can be withdrawn for different purposes authorized by the Ordinance.  UMP: UMP is an enforcement program that allows tenants to continue to receive essential utility services. Through UMP, the Department of Water and Power (DWP) and the Gas Company refer delinquent master-metered properties subject to rent stabilization to HCIDLA to establish escrow accounts for tenants to voluntarily deposit their rent.  HCIDLA is then able to release these funds to maintain utility services for the affected tenants.  Our Family Source Centers offer several support services, including income tax & financial planning assistance, education and pre-employment counseling, and information and referral services."
NON-PROFIT FSC,WATTS LABOR COMMUNITY ACTION COMMITTEE,"1212 E 108TH ST
LOS ANGELES, CA 90059
(33.93145692200045, -118.23328863399968)",(323) 357-6262,"MONDAY-FRIDAY 8 AM - 7 PM, Every 4th SAT 9AM-2PM",,"Family support services, including: Income tax & financial planning assistance, education and pre-employment counseling, and information and referral services."
